student_id,name,course,learning_style,communication,personality,gpa,combination,performance_level
S0001,hassan qureshi,data science,kinesthetic,average,ambivert,2.84,data science - kinesthetic - ambivert - average,Below Average
S0002,usman rana,artificial intelligence,auditory,strong,introvert,2.17,artificial intelligence - auditory - introvert - strong,Low
S0003,ahmad iftikhar,cyber security,reading/writing,average,introvert,2.59,cyber security - reading/writing - introvert - average,Below Average
S0004,hassan iftikhar,information technology,reading/writing,weak,extrovert,3.44,information technology - reading/writing - extrovert - weak,Above Average
S0005,sana butt,software engineering,reading/writing,strong,introvert,2.85,software engineering - reading/writing - introvert - strong,Below Average
S0006,muneeb chaudhry,computer networks,kinesthetic,strong,extrovert,2.77,computer networks - kinesthetic - extrovert - strong,Below Average
S0007,hassan malik,computer networks,auditory,average,introvert,2.22,computer networks - auditory - introvert - average,Low
S0008,hassan butt,information technology,kinesthetic,average,extrovert,2.76,information technology - kinesthetic - extrovert - average,Below Average
S0009,ahmad rana,deep learning,visual,average,introvert,2.13,deep learning - visual - introvert - average,Low
S0010,fatima rana,software engineering,kinesthetic,strong,ambivert,3.35,software engineering - kinesthetic - ambivert - strong,Above Average
S0011,ali khan,deep learning,reading/writing,strong,ambivert,2.26,deep learning - reading/writing - ambivert - strong,Low
S0012,hiba chaudhry,information technology,visual,strong,extrovert,3.25,information technology - visual - extrovert - strong,Above Average
S0013,zara ashraf,artificial intelligence,auditory,weak,introvert,2.96,artificial intelligence - auditory - introvert - weak,Below Average
S0014,hiba siddiqui,software engineering,visual,strong,introvert,3.15,software engineering - visual - introvert - strong,Above Average
S0015,hassan siddiqui,information technology,kinesthetic,weak,ambivert,3.71,information technology - kinesthetic - ambivert - weak,High
S0016,muneeb iftikhar,machine learning,reading/writing,weak,ambivert,3.22,machine learning - reading/writing - ambivert - weak,Above Average
S0017,ayesha qureshi,machine learning,auditory,weak,ambivert,2.71,machine learning - auditory - ambivert - weak,Below Average
S0018,jawad malik,computer networks,auditory,average,ambivert,2.31,computer networks - auditory - ambivert - average,Low
S0019,ali ashraf,cloud computing,auditory,weak,extrovert,3.69,cloud computing - auditory - extrovert - weak,High
S0020,zara rana,artificial intelligence,reading/writing,average,ambivert,3.33,artificial intelligence - reading/writing - ambivert - average,Above Average
S0021,zara sheikh,artificial intelligence,auditory,weak,ambivert,3.48,artificial intelligence - auditory - ambivert - weak,Above Average
S0022,ayesha siddiqui,information technology,reading/writing,weak,ambivert,3.13,information technology - reading/writing - ambivert - weak,Above Average
S0023,muneeb malik,cyber security,auditory,weak,extrovert,2.71,cyber security - auditory - extrovert - weak,Below Average
S0024,ayesha siddiqui,computer networks,reading/writing,weak,extrovert,2.23,computer networks - reading/writing - extrovert - weak,Low
S0025,muneeb sheikh,deep learning,visual,weak,introvert,2.28,deep learning - visual - introvert - weak,Low
S0026,usman malik,cloud computing,visual,strong,extrovert,2.49,cloud computing - visual - extrovert - strong,Low
S0027,usman chaudhry,artificial intelligence,kinesthetic,average,extrovert,2.53,artificial intelligence - kinesthetic - extrovert - average,Below Average
S0028,jawad khan,artificial intelligence,reading/writing,average,extrovert,2.72,artificial intelligence - reading/writing - extrovert - average,Below Average
S0029,sana rana,artificial intelligence,reading/writing,average,extrovert,3.07,artificial intelligence - reading/writing - extrovert - average,Above Average
S0030,zara ashraf,artificial intelligence,auditory,weak,extrovert,2.46,artificial intelligence - auditory - extrovert - weak,Low
S0031,hassan siddiqui,artificial intelligence,kinesthetic,weak,introvert,2.61,artificial intelligence - kinesthetic - introvert - weak,Below Average
S0032,muneeb qureshi,cloud computing,reading/writing,average,introvert,2.84,cloud computing - reading/writing - introvert - average,Below Average
S0033,fatima malik,deep learning,auditory,strong,ambivert,3.4,deep learning - auditory - ambivert - strong,Above Average
S0034,ayesha ashraf,data science,auditory,weak,extrovert,3.43,data science - auditory - extrovert - weak,Above Average
S0035,maryam butt,machine learning,reading/writing,strong,introvert,3.95,machine learning - reading/writing - introvert - strong,High
S0036,hassan iftikhar,machine learning,reading/writing,average,extrovert,2.49,machine learning - reading/writing - extrovert - average,Low
S0037,jawad iftikhar,data science,auditory,strong,extrovert,3.84,data science - auditory - extrovert - strong,High
S0038,jawad qureshi,data science,kinesthetic,average,introvert,2.9,data science - kinesthetic - introvert - average,Below Average
S0039,hiba sheikh,software engineering,visual,average,extrovert,3.83,software engineering - visual - extrovert - average,High
S0040,ahmad malik,information technology,reading/writing,weak,ambivert,2.96,information technology - reading/writing - ambivert - weak,Below Average
S0041,hassan siddiqui,computer networks,kinesthetic,average,ambivert,2.69,computer networks - kinesthetic - ambivert - average,Below Average
S0042,bilal sheikh,cloud computing,visual,strong,introvert,3.23,cloud computing - visual - introvert - strong,Above Average
S0043,ayesha ashraf,machine learning,visual,strong,extrovert,3.08,machine learning - visual - extrovert - strong,Above Average
S0044,bilal butt,deep learning,auditory,strong,ambivert,2.95,deep learning - auditory - ambivert - strong,Below Average
S0045,jawad rana,deep learning,reading/writing,weak,ambivert,3.85,deep learning - reading/writing - ambivert - weak,High
S0046,usman malik,software engineering,visual,strong,extrovert,2.64,software engineering - visual - extrovert - strong,Below Average
S0047,zara butt,machine learning,auditory,strong,ambivert,3.3,machine learning - auditory - ambivert - strong,Above Average
S0048,maryam siddiqui,software engineering,auditory,strong,ambivert,2.22,software engineering - auditory - ambivert - strong,Low
S0049,hamza rana,software engineering,kinesthetic,strong,extrovert,3.22,software engineering - kinesthetic - extrovert - strong,Above Average
S0050,maryam butt,machine learning,kinesthetic,average,introvert,2.28,machine learning - kinesthetic - introvert - average,Low
S0051,bilal malik,computer networks,visual,weak,introvert,2.76,computer networks - visual - introvert - weak,Below Average
S0052,muneeb khan,data science,visual,average,ambivert,3.76,data science - visual - ambivert - average,High
S0053,jawad ashraf,computer networks,auditory,strong,introvert,3.96,computer networks - auditory - introvert - strong,High
S0054,ayesha khan,computer networks,auditory,weak,introvert,3.39,computer networks - auditory - introvert - weak,Above Average
S0055,jawad ashraf,computer networks,reading/writing,average,ambivert,3.05,computer networks - reading/writing - ambivert - average,Above Average
S0056,hiba sheikh,information technology,visual,weak,introvert,3.38,information technology - visual - introvert - weak,Above Average
S0057,ahmad sheikh,deep learning,visual,strong,ambivert,3.7,deep learning - visual - ambivert - strong,High
S0058,hamza sheikh,deep learning,auditory,average,introvert,3.23,deep learning - auditory - introvert - average,Above Average
S0059,sana sheikh,computer networks,auditory,weak,extrovert,2.71,computer networks - auditory - extrovert - weak,Below Average
S0060,fatima malik,software engineering,visual,weak,extrovert,2.91,software engineering - visual - extrovert - weak,Below Average
S0061,maryam iftikhar,machine learning,reading/writing,average,introvert,2.83,machine learning - reading/writing - introvert - average,Below Average
S0062,ahmad butt,deep learning,visual,average,introvert,3.04,deep learning - visual - introvert - average,Above Average
S0063,ahmad sheikh,deep learning,auditory,average,extrovert,2.97,deep learning - auditory - extrovert - average,Below Average
S0064,sana khan,artificial intelligence,visual,average,introvert,2.64,artificial intelligence - visual - introvert - average,Below Average
S0065,bilal malik,deep learning,visual,average,ambivert,2.63,deep learning - visual - ambivert - average,Below Average
S0066,fatima ashraf,machine learning,kinesthetic,weak,ambivert,2.31,machine learning - kinesthetic - ambivert - weak,Low
S0067,muneeb rana,computer networks,kinesthetic,average,ambivert,3.52,computer networks - kinesthetic - ambivert - average,High
S0068,ayesha iftikhar,machine learning,kinesthetic,average,extrovert,3.97,machine learning - kinesthetic - extrovert - average,High
S0069,ali iftikhar,deep learning,auditory,weak,ambivert,2.29,deep learning - auditory - ambivert - weak,Low
S0070,usman iftikhar,cloud computing,visual,weak,introvert,3.61,cloud computing - visual - introvert - weak,High
S0071,usman khan,machine learning,reading/writing,weak,introvert,3.84,machine learning - reading/writing - introvert - weak,High
S0072,hiba malik,cloud computing,kinesthetic,weak,introvert,3.12,cloud computing - kinesthetic - introvert - weak,Above Average
S0073,bilal butt,computer networks,auditory,average,ambivert,3.43,computer networks - auditory - ambivert - average,Above Average
S0074,hassan butt,software engineering,visual,average,introvert,2.29,software engineering - visual - introvert - average,Low
S0075,zara iftikhar,computer networks,kinesthetic,strong,extrovert,3.75,computer networks - kinesthetic - extrovert - strong,High
